,date,team,goals,xg,pass_success_rate,possession,tot_duels_win_rate,sobotr,cornwsr,fkwsr,pen_conversion_rate,acc_cross_rate,succ_for_passes_rate,succ_back_passes_rate,succ_lat_passes_rate,succ_long_passes_rate,succ_fin_third_passes_rate,succ_prog_passes_rate,succ_smart_passes_rate,succ_throw_ins_rate,mean_shot_dist,mean_pass_len,ppda,passes_per_minute,goal_conversion_rate,touches_in_box_per_minute,recoveries_per_minute,shots_on_target_rate
31,9/6/21, Michigan Wolverines,2,1.17,79.74,59.68,44.91,14.29,0.0,25.0,100,15.79,68.21,92.42,88.75,45.65,66.67,79.75,20.0,78.95,21.69,19.83,5.83,4.73469387755102,0.2,0.12244897959183673,1.0,0.3
32,9/3/21, Michigan Wolverines,0,0.68,71.36,54.25,49.03,0.0,33.33,14.29,0,44.44,59.68,87.93,87.25,37.14,46.3,54.12,0.0,75.0,15.38,20.25,5.74,3.9019607843137254,0.0,0.13725490196078433,1.2254901960784315,0.125
33,8/29/21, Michigan Wolverines,2,2.07,77.49,57.03,46.36,20.0,27.27,37.5,0,33.33,66.49,88.37,85.92,48.44,60.0,74.23,50.0,87.76,18.38,20.62,5.98,4.336,0.1,0.184,0.872,0.3
34,8/26/21, Michigan Wolverines,1,2.35,86.38,74.91,47.37,16.67,16.67,25.0,0,23.64,83.94,95.6,85.61,52.78,84.0,86.86,100.0,97.3,19.73,19.1,4.43,5.466165413533835,0.041666666666666664,0.3233082706766917,0.9548872180451128,0.2916666666666667
35,11/3/24, Maryland College Park Terrapins,1,0.62,81.56,61.11,46.92,25.0,0.0,0.0,0,40.0,72.28,83.93,91.57,60.71,58.73,66.33,0.0,87.18,20.91,20.84,7.04,4.229357798165138,0.125,0.11009174311926606,0.8899082568807339,0.25
36,10/30/24, Maryland College Park Terrapins,1,1.31,79.96,61.41,46.12,37.5,22.22,25.0,0,36.11,70.88,93.33,86.44,49.02,72.73,78.3,33.33,100.0,20.11,19.98,6.51,3.9173553719008263,0.06666666666666667,0.15702479338842976,0.768595041322314,0.26666666666666666
37,10/26/24, Maryland College Park Terrapins,0,3.15,82.72,67.23,51.4,30.0,50.0,71.43,0,24.0,75.16,96.92,85.38,69.05,73.33,74.49,0.0,91.11,19.65,20.33,4.14,3.967741935483871,0.0,0.1935483870967742,0.7661290322580645,0.375
38,10/22/24, Maryland College Park Terrapins,1,1.46,85.19,58.23,48.22,20.0,50.0,100.0,0,29.41,72.67,90.0,93.7,58.0,64.29,77.03,100.0,91.67,16.47,19.87,10.5,5.757894736842105,0.08333333333333333,0.2,0.9368421052631579,0.25
39,10/16/24, Maryland College Park Terrapins,2,2.19,80.99,48.75,54.59,12.5,44.44,33.33,100,8.33,67.5,94.81,86.52,36.0,66.67,60.29,0.0,81.82,18.74,18.97,13.0,4.171171171171171,0.1111111111111111,0.13513513513513514,0.7747747747747747,0.3333333333333333
40,10/12/24, Maryland College Park Terrapins,3,2.02,81.48,54.42,46.79,20.0,0.0,50.0,100,55.56,69.43,97.78,91.61,50.88,54.1,71.43,0.0,93.75,17.5,20.62,12.15,3.5217391304347827,0.25,0.10434782608695652,0.9130434782608695,0.5
41,10/6/24, Maryland College Park Terrapins,2,1.33,83.21,58.54,42.6,40.0,20.0,66.67,0,47.06,68.07,91.76,92.24,45.1,60.0,69.77,100.0,93.55,17.58,19.65,7.92,5.219047619047619,0.15384615384615385,0.17142857142857143,0.780952380952381,0.38461538461538464
42,10/1/24, Maryland College Park Terrapins,1,1.51,83.97,63.76,45.96,0.0,50.0,50.0,0,20.0,76.72,90.43,89.13,64.41,78.38,76.03,0.0,91.67,18.21,20.27,6.56,5.686274509803922,0.05555555555555555,0.19607843137254902,1.0098039215686274,0.2222222222222222
43,9/28/24, Maryland College Park Terrapins,2,1.37,77.68,42.66,47.97,0.0,100.0,0.0,100,40.0,61.98,91.67,90.08,36.17,65.96,60.66,50.0,79.17,16.74,20.65,11.97,2.9734513274336285,0.3333333333333333,0.061946902654867256,0.8672566371681416,0.6666666666666666
44,9/21/24, Maryland College Park Terrapins,1,1.29,75.62,40.29,41.44,40.0,20.0,0.0,100,12.5,66.67,91.67,82.11,48.84,66.67,69.86,0.0,95.0,22.04,22.07,11.07,2.7475728155339807,0.1111111111111111,0.08737864077669903,0.8155339805825242,0.5555555555555556
45,9/14/24, Maryland College Park Terrapins,3,1.02,72.95,39.64,41.2,33.33,25.0,100.0,0,33.33,60.17,85.11,84.52,52.38,56.1,56.14,0.0,95.83,16.73,20.32,12.88,2.782178217821782,0.42857142857142855,0.06930693069306931,0.8316831683168316,0.42857142857142855
46,9/10/24, Maryland College Park Terrapins,1,1.85,77.24,58.29,50.84,25.0,66.67,16.67,0,50.0,57.47,90.63,90.56,29.79,59.15,61.73,0.0,88.89,15.72,21.25,9.13,3.905982905982906,0.09090909090909091,0.13675213675213677,0.8547008547008547,0.45454545454545453
47,9/7/24, Maryland College Park Terrapins,2,2.15,83.08,53.33,49.17,33.33,66.67,33.33,100,23.08,68.79,90.67,90.34,47.92,62.96,76.12,0.0,95.83,17.4,19.84,7.94,4.2924528301886795,0.14285714285714285,0.1509433962264151,0.8679245283018868,0.35714285714285715
48,9/3/24, Maryland College Park Terrapins,1,1.62,78.44,49.06,43.46,14.29,40.0,0.0,100,68.75,63.8,93.88,92.62,50.77,68.75,69.32,50.0,96.55,18.98,19.97,6.82,3.94392523364486,0.07142857142857142,0.205607476635514,0.9906542056074766,0.14285714285714285
49,8/31/24, Maryland College Park Terrapins,5,1.11,83.28,62.22,45.95,40.0,18.18,50.0,0,28.57,63.1,93.48,92.05,44.62,55.13,67.53,0.0,93.94,20.86,22.15,7.69,5.634615384615385,0.3333333333333333,0.17307692307692307,0.7403846153846154,0.6666666666666666
50,8/26/24, Maryland College Park Terrapins,0,1.43,80.86,67.43,47.41,33.33,30.77,100.0,0,36.36,70.41,95.29,87.32,41.82,63.64,67.78,0.0,96.3,17.7,19.54,5.68,5.224299065420561,0.0,0.24299065420560748,0.8317757009345794,0.1875
51,8/23/24, Maryland College Park Terrapins,1,1.18,81.05,56.18,44.12,25.0,0.0,0.0,0,18.18,68.06,94.12,86.34,46.43,63.16,80.52,33.33,94.44,21.62,20.15,6.36,4.330188679245283,0.125,0.1509433962264151,0.8584905660377359,0.25
52,10/29/23, Maryland College Park Terrapins,1,1.57,80.44,48.24,45.35,0.0,33.33,0.0,0,25.0,72.53,92.42,84.5,58.49,70.83,64.29,100.0,78.57,11.64,18.26,8.07,4.6875,0.16666666666666666,0.14583333333333334,1.0729166666666667,0.16666666666666666
